edgeID,DAY,NIGHT
0,55,38
1,7,75
2,27,81
3,108,69
4,12,1
5,1,7
7,51,22
8,471,278
9,74,101
10,0,0
11,11,123
12,0,0
13,79,17
14,4,53
15,880,46
16,0,0
17,2,78
18,6,4
19,805,486
20,3,22
21,0,0
22,24,2
23,104,67
24,117,87
25,3,1
26,14,9
27,71,56
29,81,40
33,31,52
34,59,123
35,23,0
36,39,0
37,11,51
38,59,57
39,0,0
40,21,225
41,42,54
43,4,13
44,28,15
45,3,0
46,6,11
47,9,0
48,5,19
49,317,24
50,26,51
51,382,7
52,161,83
53,294,91
54,87,47
55,27,156
56,0,0
57,10,59
59,54,26
60,2,1
62,64,70
63,10,29
64,2,1
66,182,104
67,344,77
68,107,306
69,144,200
70,331,51
71,46,31
72,110,117
73,66,17
76,6,74
77,0,0
78,4,8
79,5,18
80,15,8
81,60,197
82,12,12
83,1,11
85,5,4
86,5,2
87,13,13
88,29,23
89,675,60
90,0,0
91,3,6
92,6,5
95,153,81
99,46,24
100,198,49
101,6,31
103,0,1
106,0,0
107,0,0
109,96,11
110,35,30
111,0,7
112,36,6
113,4,0
114,26,13
115,82,47
116,5,4
117,70,92
118,3,0
119,3,32
120,7,17
121,28,141
122,19,7
123,5,5
124,20,19
125,24,45
128,172,7
129,3,0
130,10,3
131,9,5
132,87,77
133,114,191
134,31,15
136,102,49
137,179,161
138,11,2
140,9,9
141,18,30
142,0,0
143,3,0
144,168,84
145,0,1
146,4,5
148,538,0
149,73,6
150,107,54
151,705,27
153,229,61
155,2,9
156,0,0
158,68,59
159,15,5
160,31,25
161,207,221
162,67,21
163,2,0
164,2,2
166,0,0
167,100,71
168,18,10
169,7,11
170,0,2
171,26,9
172,3,2
173,3,7
174,9,46
175,0,0
176,18,12
177,58,54
178,22,6
179,23,33
180,6,1
181,183,61
182,35,8
184,6,14
185,13,13
186,0,0
187,48,11
188,79,38
189,83,24
190,32,59
191,37,10
194,4,2
195,24,9
200,24,7
201,2,10
202,16,16
203,10,36
204,3,4
205,99,83
206,8,1
207,62,26
208,2,8
209,195,142
210,29,7
211,0,0
213,5,2
214,13,6
215,0,21
216,0,4
218,46,23
219,11,15
220,11,11
221,52,44
222,0,0
223,51,58
225,2,0
226,18,29
227,30,24
228,0,0
229,0,0
230,18,278
231,25,6
232,14,7
235,1,4
236,4,6
237,31,173
238,11,5
239,585,176
240,135,79
241,5,2
242,3,10
243,33,135
244,72,56
245,13,17
246,8,9
248,14,4
249,4,2
250,357,537
251,475,3
252,700,757
253,61,66
256,93,47
257,16,28
258,255,72
260,9,2
261,66,85
262,33,7
263,0,0
264,28,56
265,5,5
266,163,145
267,29,33
268,170,173
269,88,116
270,0,0
271,1,3
272,18,8
273,0,1
274,180,96
275,60,74
276,26,105
280,0,1
281,0,0
282,36,5
283,160,65
284,187,3
286,356,744
287,14,424
288,68,71
289,602,211
292,995,90
293,0,1
295,4,25
296,18,29
297,5,5
298,2,0
301,3,5
303,8,18
304,19,14
307,3,23
308,0,6
309,0,2
310,12,4
311,39,51
313,4,2
314,0,2
315,1,1
316,0,15
317,155,114
318,84,74
319,0,0
320,18,73
321,264,241
323,135,93
325,66,125
326,0,0
327,102,36
329,125,111
330,21,18
331,2,6
332,0,0
333,4,4
334,41,36
335,60,39
337,12,3
340,945,124
341,29,121
342,14,17
343,0,18
344,60,185
345,203,23
346,25,122
347,9,92
349,19,176
350,28,53
352,116,12
353,72,75
354,0,0
355,40,59
356,78,73
358,77,11
359,283,47
360,24,16
361,15,16
362,87,101
363,156,3
364,8,0
365,10,0
366,8,32
367,326,30
368,66,32
369,81,69
370,130,111
371,39,21
372,17,45
373,0,1
374,4,23
375,0,91
376,129,70
377,19,21
378,10,15
379,379,173
380,9,0
381,4,2
382,8,17
383,10,80
384,14,3
385,8,7
387,19,15
388,3,4
389,0,0
390,97,131
391,9,79
392,3,4
393,6,2
394,101,143
397,123,103
399,0,0
400,0,55
401,58,30
402,29,9
403,19,27
404,35,7
405,14,2
406,8,9
407,0,0
408,10,3
409,79,20
411,61,30
412,951,102
414,42,86
415,80,73
416,103,74
417,0,0
418,0,0
419,28,16
421,2,1
422,118,3
423,5,47
424,59,326
426,79,11
427,15,38
428,44,72
429,76,19
431,2,6
432,8,5
433,25,34
434,192,222
435,7,17
436,13,26
437,31,38
438,27,23
439,110,136
440,118,68
443,13,10
444,1,1
446,6,0
447,2,7
448,4,75
449,3,5
452,0,224
453,185,4
454,0,0
459,8,33
460,79,175
461,0,0
463,82,132
464,0,0
465,14,11
467,7,1
469,62,37
470,42,51
473,0,0
474,5,1
475,6,1
476,288,198
478,43,179
479,3,3
481,9,20
482,0,2
485,0,0
486,0,0
487,106,75
